Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
203,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.88,2,0.09,0.83,4.8
204,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
205,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.71,1.32,0.12,0.62,4.77
206,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
207,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
208,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.81,1.44,0,0.45,4.7
209,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
210,New Super Mario Bros. U,WiiU,2012,Action,Nintendo,2.16,1.01,1.23,0.28,4.68
211,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
212,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.48,1.59,0,0.59,4.65
213,Diablo III,PC,2012,Role-Playing,Activision,2.18,1.88,0,0.59,4.65
214,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
215,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
216,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.81,1.12,1.32,0.36,4.61
217,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
218,Destiny,PS4,2014,Action,Activision,2.04,1.62,0.14,0.81,4.6
219,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0,0.43,4.59
220,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.89,1.25,0.04,0.39,4.58
221,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.09,0.96,0.09,0.4,4.54
222,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
223,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.87,1.94,0.22,0.48,4.51
224,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
225,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.16,0.91,0.01,0.41,4.49
226,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
227,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
228,Dragon Quest VII,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
229,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
230,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,1.98,1.94,0.06,0.45,4.43
231,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
232,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
233,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
234,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
235,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.63,1.31,0.01,0.39,4.34
236,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
237,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
238,Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31
239,Mario Kart 8,WiiU,2014,Racing,Nintendo,1.9,1.19,0.92,0.29,4.3
240,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.69,1.71,0.14,0.73,4.28
241,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.73,1.02,0.13,0.38,4.27
242,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
243,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.48,1.23,0.11,0.41,4.23
244,FIFA Soccer 14,X360,2013,Sports,Electronic Arts,0.87,2.87,0.01,0.48,4.23
245,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
246,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,2.75,1.24,0.01,0.22,4.22
247,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21
248,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
249,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
250,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.38,2,0.1,0.72,4.2
251,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.27,1.82,0.57,0.53,4.18
252,Teenage Mutant Ninja Turtles,NES,1989,Platform,Palcom,3.38,0.44,0.31,0.04,4.17
253,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
254,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16
255,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.41,1.01,0,0.73,4.15
256,FIFA Soccer 12,X360,2011,Sports,Electronic Arts,0.81,2.78,0.02,0.53,4.15
257,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
258,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.2,1.47,0.04,0.43,4.14
259,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.18,1.29,0.07,0.59,4.13
260,FIFA 15,PS3,2014,Sports,Electronic Arts,0.4,2.56,0.04,1.12,4.12
261,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
262,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12
263,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo,1.56,1.23,1.06,0.27,4.12
264,FIFA 07 Soccer,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
265,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
266,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09
267,Street Fighter IV,PS3,2009,Fighting,Capcom,1.96,1.02,0.57,0.51,4.07
268,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
269,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
